TIME,PRINT,PRMNU,SALER,SALEC,CPI,INFLA,CLI,BCI
Jan-72,57.5372,58.0576,36.5793,59.1349,9.5401,8.1633,103.5878,100.7913
Feb-72,53.0203,53.9568,36.2913,55.8033,9.5881,8.1191,103.9124,100.4831
Mar-72,58.1825,58.0576,36.7521,59.4603,9.6181,7.5839,104.2354,100.3108
Apr-72,59.473,58.9209,37.2706,66.9667,9.7081,6.3075,104.5149,100.2195
May-72,60.656,59.8921,38.2499,71.9343,9.7561,6.1358,104.6611,100.2425
Jun-72,60.9787,59.8921,38.0195,68.9372,9.8221,6.092,104.6384,100.3811
Jul-72,60.2259,59.4604,38.4227,64.3866,9.8521,5.799,104.5073,100.5293
Aug-72,60.8711,60,38.1923,64.7166,9.9301,6.5679,104.3434,100.6529
Sep-72,61.839,60.8633,38.1923,61.4308,9.9841,7.0096,104.1939,100.6934
Oct-72,62.5919,61.8345,38.2499,68.5111,10.1222,7.8645,104.0923,100.4965
Nov-72,63.1296,62.3741,38.4803,68.6989,10.1582,7.6287,104.0023,100.2486
Dec-72,63.5598,63.1295,38.7683,69.8263,10.2122,7.6534,103.8877,99.9856
Jan-73,65.4956,64.8561,38.9411,66.4947,10.2782,7.7358,103.7253,99.7887
Feb-73,64.9579,64.4245,39.5748,69.4505,10.3442,7.8849,103.5501,99.7829
Mar-73,65.7107,65.1799,40.7269,70.9994,10.4042,8.1722,103.3758,99.9632
Apr-73,65.0654,64.3165,38.5379,66.261,10.6022,9.2089,103.1949,100.3075
May-73,65.173,64.5324,39.1716,63.965,10.6802,9.4711,102.9915,100.7023
Jun-73,66.2484,65.9353,39.6324,62.6498,10.7342,9.2853,102.7393,101.022
Jul-73,66.0333,65.5036,39.5172,64.9503,10.7822,9.4397,102.3847,101.2108
Aug-73,66.0333,65.6115,39.4596,70.9032,10.8122,8.8822,101.8882,101.332
Sep-73,65.7107,65.2878,39.402,59.9781,10.9082,9.2548,101.2391,101.3272
Oct-73,66.2484,65.9353,39.5748,59.9323,11.1242,9.8992,100.4919,101.054
Nov-73,65.4956,65.7194,39.6324,59.7902,11.2082,10.3367,99.6771,100.9253
Dec-73,64.9579,65.6115,39.5748,56.3211,11.2922,10.5758,98.857,101.1781
Jan-74,60.3334,61.0791,38.5955,40.6575,11.5082,11.9673,98.1454,101.5258
Feb-74,60.3334,62.2662,38.7683,48.4893,11.7038,13.1442,97.6368,101.6992
Mar-74,62.3768,63.6691,39.402,50.5057,11.8074,13.4872,97.2785,101.5226
Apr-74,65.6032,65.9353,38.5955,45.8635,12.2102,15.1668,97.0196,101.0573
May-74,66.356,66.4748,38.3075,47.6461,12.3828,15.942,96.829,100.5138
Jun-74,66.6786,66.6907,38.8835,53.1774,12.5094,16.5381,96.6468,100.0822
Jul-74,66.4635,66.0432,38.9987,49.5204,12.6245,17.0866,96.4259,99.7341
Aug-74,66.6786,66.3669,39.402,47.3162,12.636,16.8681,96.1996,99.337
Sep-74,65.4956,64.964,39.6324,53.3653,12.7741,17.1056,95.9992,98.7918
Oct-74,64.0975,63.2374,39.5748,48.4435,13.0273,17.1077,95.8266,98.2703
Nov-74,63.99,63.3453,40.0356,45.8176,13.2574,18.2835,95.7336,97.8615
Dec-74,62.9145,62.6978,38.9411,47.8798,13.4531,19.1361,95.7726,97.4575
Jan-75,63.5598,63.5612,39.3444,47.7057,13.7983,19.9,95.9721,96.9033
Feb-75,63.0221,62.9137,39.4596,46.1476,14.0285,19.8623,96.2985,96.1177
Mar-75,61.839,61.1871,38.9987,43.7646,14.3047,21.1501,96.696,95.1637
Apr-75,60.7636,60,42.8583,40.6942,14.8571,21.6777,97.119,94.2496
May-75,59.9032,58.9209,37.3858,42.7106,15.4785,25,97.539,93.5556
Jun-75,60.3334,59.5683,37.3858,46.7892,15.7777,26.127,97.9175,93.1958
Jul-75,59.5806,58.813,37.0978,49.5388,15.9388,26.2534,98.2335,93.2232
Aug-75,58.7202,57.9496,37.3282,40.9692,16.0309,26.867,98.5121,93.5155
Sep-75,59.9032,58.9209,37.4434,58.1542,16.169,26.5766,98.8008,93.7335
Oct-75,60.656,59.4604,37.501,41.2441,16.3991,25.8834,99.076,94.0817
Nov-75,60.7636,59.4604,37.0402,43.7188,16.5948,25.1736,99.3923,94.5564
Dec-75,60.4409,59.0288,37.501,45.8726,16.8019,24.8931,99.742,94.8876
Jan-76,60.7636,59.8921,39.114,48.2098,17.0206,23.3528,100.097,95.2089
Feb-76,61.5164,59.8921,37.6162,44.1312,17.2392,22.8876,100.4028,95.601
Mar-76,61.624,60.3237,37.4434,46.1018,17.3313,21.1585,100.6285,96.0278
Apr-76,62.2692,60.8633,38.3651,51.051,17.665,18.9001,100.7412,96.428
May-76,63.2371,61.9425,38.5955,50.9136,17.8607,15.3903,100.7092,96.8
Jun-76,62.0541,60.2158,37.8466,46.5142,17.9527,13.7856,100.5444,97.1176
Jul-76,62.1617,60.8633,38.2499,48.7139,17.9873,12.852,100.3059,97.3793
Aug-76,62.0541,60.5396,38.0195,47.9806,18.2405,13.7832,100.0306,97.5051
Sep-76,63.0221,61.1871,38.2499,42.8481,18.4821,14.306,99.7736,97.5359
Oct-76,64.4202,62.482,38.0195,50.4095,18.8159,14.7368,99.6088,97.4524
Nov-76,64.9579,62.6978,38.4227,60.1247,19.0805,14.9792,99.5521,97.3507
Dec-76,65.3881,62.5899,37.3858,54.6255,19.3337,15.0685,99.5804,97.3404
Jan-77,66.5711,63.8849,37.501,43.1688,19.8401,16.5652,99.6999,97.418
Feb-77,66.2484,63.2374,37.213,52.7008,20.0357,16.2216,99.9193,97.3511
Mar-77,66.356,63.2374,36.8674,45.4143,20.2314,16.7331,100.1928,100.7913
Apr-77,65.8182,62.1583,36.5793,47.3849,20.7492,17.4593,100.5141,100.4831
May-77,67.6465,63.777,36.9826,50.5928,20.9103,17.0747,100.8592,100.3108
Jun-77,64.8503,60.6475,36.9826,45.9643,21.129,17.6923,101.1999,100.2195
Jul-77,65.173,61.6187,37.789,62.5077,21.152,17.5944,101.5345,100.2425
Aug-77,65.8182,61.8345,37.7314,50.6844,21.2556,16.53,101.8065,100.3811
Sep-77,66.0333,61.8345,37.6738,51.6926,21.3707,15.6289,102.0166,100.5293
Oct-77,65.8182,61.8345,37.3858,55.0838,21.4627,14.0673,102.1425,100.6529
Nov-77,65.3881,61.295,37.6738,53.9381,21.5663,13.0277,102.1723,100.6934
Dec-77,66.5711,62.482,38.5955,52.7925,21.6814,12.1429,102.1427,100.4965
Jan-78,66.356,62.2662,38.3075,58.5666,21.808,9.9188,102.0849,100.2486
Feb-78,66.2484,61.7266,38.1923,57.3293,21.9346,9.4773,102.0099,99.9856
Mar-78,65.6032,61.4029,38.3651,60.4455,22.0727,9.1013,101.9469,99.7887
Apr-78,69.6899,64.8561,38.7107,58.1542,22.3949,7.9312,101.9096,99.7829
May-78,67.3239,62.2662,39.1716,53.4799,22.5215,7.705,101.9143,99.9632
Jun-78,67.3239,62.1583,39.0564,64.9366,22.6941,7.4074,101.9744,100.3075
Jul-78,68.3994,63.0216,40.3237,63.6992,22.7977,7.7802,102.0384,100.7023
Aug-78,69.0446,63.4532,40.0933,61.3621,22.9473,7.9589,102.0672,101.022
Sep-78,68.9371,63.4532,39.978,69.1985,23.0394,7.8083,102.0319,101.2108
Oct-78,67.539,61.6187,39.978,61.8203,23.1429,7.8284,101.9148,101.332
Nov-78,67.9692,61.8345,40.2085,57.146,23.304,8.0576,101.7817,101.3272
Dec-78,70.1201,63.5612,40.9573,59.254,23.4997,8.3864,101.7095,101.054
Jan-79,65.2805,57.3022,39.6324,60.9038,23.8449,9.3404,101.722,100.9253
Feb-79,70.1201,62.6978,39.69,58.3833,24.0406,9.6013,101.8123,101.1781
Mar-79,70.9805,64.1007,40.3237,63.5159,24.2362,9.8019,101.9343,101.5258
Apr-79,70.9805,63.4532,41.879,72.1314,24.6505,10.0719,101.969,101.6992
May-79,72.0559,64.1007,41.5334,78.2722,24.8461,10.3219,101.8098,101.5226
Jun-79,73.2389,65.1799,44.356,96.3737,25.2719,11.359,101.4486,101.0573
Jul-79,72.3786,63.777,39.978,55.817,26.3652,15.6487,101.0069,100.5138
Aug-79,69.7975,60.8633,40.4965,51.7384,26.5724,15.7974,100.6024,100.0822
Sep-79,69.5824,60.4317,40.7269,55.2213,26.8371,16.4835,100.287,99.7341
Oct-79,69.7975,61.4029,41.1877,64.9824,27.1133,17.1556,100.0331,99.337
Nov-79,70.7654,62.6978,42.1094,66.5863,27.3549,17.3827,99.7876,98.7918
Dec-79,71.1956,63.5612,41.4182,64.6616,27.5506,17.238,99.5419,98.2703
Jan-80,70.7654,62.2662,41.3606,62.8652,28.2295,18.388,99.2923,97.8615
Feb-80,69.1522,60.8633,41.591,64.7533,28.6323,19.1,99.0334,97.4575
Mar-80,68.722,59.8921,41.5334,72.5988,29.0236,19.7531,98.747,96.9033
Apr-80,66.7862,58.813,41.303,54.5705,30.0133,21.7554,98.4343,96.1177
May-80,66.8937,58.1655,40.6117,59.9552,30.2895,21.9083,98.1654,95.1637
Jun-80,66.8937,57.9496,41.5334,62.1411,30.5772,20.9927,97.9456,94.2496
Jul-80,65.4956,56.3309,41.0149,58.4383,30.8304,16.9358,97.7727,93.5556
Aug-80,64.4202,55.6835,40.8421,48.0815,30.8994,16.2841,97.6659,93.1958
Sep-80,63.3447,54.6043,41.1877,58.1909,31.0951,15.8662,97.6626,93.2232
Oct-80,63.0221,53.8489,41.2454,50.8219,31.2907,15.4075,97.7471,93.5155
Nov-80,63.0221,53.6331,41.0149,52.1142,31.5439,15.3134,97.9258,93.7335
Dec-80,62.6994,52.8777,40.7269,51.7064,31.7165,15.1211,98.1837,94.0817
Jan-81,62.4843,52.7698,41.9942,58.1404,31.9122,13.0453,98.5047,94.5564
Feb-81,63.0221,53.3094,41.6486,53.1178,32.1999,12.4598,98.8424,94.8876
Mar-81,63.1296,52.9856,41.5334,59.0203,32.6832,12.609,99.1608,95.2089
Apr-81,63.4522,53.4173,41.0725,62.2053,33.6269,12.0399,99.3973,95.601
May-81,62.4843,52.554,40.7269,60.7388,33.8455,11.7401,99.503,96.0278
Jun-81,63.8824,53.6331,41.5334,53.4524,34.0412,11.3286,99.4812,96.428
Jul-81,64.0975,53.8489,40.7269,59.8315,34.1908,10.8996,99.3857,96.8
Aug-81,64.2051,54.0648,41.303,46.8258,34.444,11.4711,99.2499,97.1176
Sep-81,64.3126,54.1727,41.1301,55.4046,34.6396,11.399,99.1286,97.3793
Oct-81,65.8182,54.7122,41.4758,60.111,34.9503,11.6955,99.031,97.5051
Nov-81,64.9579,54.3885,41.1877,60.5601,35.3186,11.9664,98.957,97.5359
Dec-81,63.99,53.0935,40.4965,55.5008,35.5372,12.0464,98.9015,97.4524
Jan-82,64.0975,53.3094,41.6486,47.142,35.7444,12.0087,98.8928,97.3507
Feb-82,64.4202,54.3885,41.591,56.0874,35.7559,11.0436,98.951,97.3404
Mar-82,64.6352,53.8489,41.879,65.4773,36.0666,10.3521,99.0337,97.418
Apr-82,65.3881,53.9568,41.3606,62.0816,36.7916,9.4114,99.0995,97.3511
May-82,65.9258,54.6043,41.6486,56.1928,37.0563,9.4866,99.1608,97.2277
Jun-82,65.173,53.2014,41.303,56.2753,37.1599,9.1616,99.2517,97.1084
Jul-82,65.173,53.2014,41.879,63.076,37.1714,8.7176,99.3922,96.9708
Aug-82,65.6032,53.3094,42.3975,63.5938,37.1829,7.9519,99.5665,96.8266
Sep-82,65.6032,53.5252,41.9366,56.5136,37.1599,7.2757,99.7644,96.8571
Oct-82,65.2805,53.2014,42.3975,70.6053,37.344,6.8489,99.9789,96.9245
Nov-82,64.0975,52.554,42.5127,64.7808,37.5281,6.2561,100.1555,96.8971
Dec-82,65.0654,52.8777,43.0887,64.2217,37.4591,5.408,100.3041,97.059
Jan-83,65.9258,54.3885,43.2615,71.0407,37.5051,4.9259,100.45,97.4961
Feb-83,66.8937,54.0648,43.2039,64.877,37.6662,5.3428,100.5932,98.1726
Mar-83,66.0333,53.5252,43.6072,68.094,37.7353,4.6267,100.7522,98.9027
Apr-83,66.7862,54.0648,43.78,68.3827,38.2647,4.0038,100.9169,99.4465
May-83,67.539,54.7122,43.8376,65.876,38.4258,3.6957,101.068,99.8309
Jun-83,66.5711,53.741,43.6648,68.7127,38.5178,3.6544,101.203,100.0253
Jul-83,67.6465,55.1439,44.0104,72.6996,38.725,4.1796,101.2978,100.0635
Aug-83,67.7541,54.7122,43.78,77.8506,38.8976,4.6116,101.3333,100.216
Sep-83,68.0767,54.7122,44.5289,61.023,39.0702,5.1409,101.3164,100.4203
Oct-83,68.722,55.6835,44.6441,72.2093,39.2083,4.9923,101.3055,100.658
Nov-83,68.6145,55.4676,44.8745,68.7814,39.3464,4.8451,101.2933,101.0543
Dec-83,68.9371,55.6835,44.9321,68.1169,39.45,5.3149,101.2827,101.3267
Jan-84,69.905,56.7626,44.5289,67.5533,39.427,5.1243,101.2676,101.3861
Feb-84,69.2597,56.223,45.1625,74.1569,39.5881,5.1024,101.2336,101.4083
Mar-84,68.3994,56.5468,44.4712,63.5205,39.7147,5.2455,101.1575,101.339
Apr-84,67.1088,56.6547,45.3929,72.5438,40.2441,5.1729,101.0437,101.1688
May-84,66.5711,56.3309,45.6234,70.7703,40.3937,5.1213,100.8785,101.1026
Jun-84,67.1088,56.223,45.4505,72.6355,40.4972,5.1389,100.6886,101.1027
Jul-84,66.1409,56.4389,45.681,65.1153,40.4512,4.4577,100.5132,101.0884
Aug-84,65.8182,56.9784,45.1625,50.2582,40.831,4.9704,100.3964,100.9836
Sep-84,67.0013,57.1942,46.3146,75.1193,40.9115,4.7128,100.3199,100.9398
Oct-84,67.0013,56.7626,46.4298,65.7798,41.1647,4.9897,100.2563,100.9632
Nov-84,66.6786,56.5468,46.0266,67.7366,41.2913,4.943,100.2155,100.9994
Dec-84,67.7541,57.4101,47.2939,65.1565,41.2568,4.5799,100.1815,101.0213
Jan-85,69.0446,57.9496,46.9483,64.3546,41.4064,5.0204,100.1456,100.9856
Feb-85,69.0446,58.4892,46.6026,73.6437,41.7242,5.3958,100.05,101.101
Mar-85,70.8729,59.4604,47.1211,69.0564,42.1328,6.0888,99.9549,101.3253
Apr-85,71.4106,58.0576,46.9483,70.7336,43.0409,6.9496,99.8641,101.5464
May-85,72.0559,58.3813,47.9852,67.4662,43.2225,7.003,99.7863,101.5679
Jun-85,73.6691,60.1079,47.6971,71.8885,43.3133,6.9536,99.7366,101.475
Jul-85,70.7654,57.6259,47.9852,68.0253,43.2225,6.8508,99.7168,101.2159
Aug-85,71.4106,58.5971,48.3884,74.9085,43.3587,6.1906,99.7303,101.0043
Sep-85,72.7012,58.5971,47.87,67.9795,43.3133,5.8705,99.755,100.9942
Oct-85,71.1956,57.3022,47.9276,71.6273,43.4041,5.44,99.7837,101.0632
Nov-85,72.0559,57.7338,48.5036,70.4999,43.5403,5.4466,99.8012,101.0236
Dec-85,70.1201,57.4101,48.5036,73.9828,43.5857,5.6449,99.8012,100.8263
Jan-86,71.088,58.705,48.9954,73.7811,43.6765,5.4825,99.7847,100.4865
Feb-86,71.5182,58.3813,48.772,70.0233,43.8581,5.1143,99.7817,100.4139
Mar-86,72.271,58.4892,49.4422,64.295,43.9035,4.2026,99.8078,100.2079
Apr-86,73.1314,58.4892,49.5911,75.8892,44.3575,3.0591,99.8574,99.929
May-86,71.9484,57.9496,49.74,68.8777,44.4029,2.7311,99.8959,99.7227
Jun-86,72.9163,58.5971,50.4847,73.9644,44.4029,2.5157,99.9296,99.5216
Jul-86,72.271,58.2734,50.0379,73.3687,44.2667,2.416,99.955,99.4856
Aug-86,72.271,58.2734,50.1868,75.0185,44.4029,2.4084,99.9829,99.666
Sep-86,74.0993,59.4604,51.0803,68.6944,44.6299,3.0398,100.0279,100.0367
Oct-86,74.4219,60.6475,50.857,72.4522,44.7207,3.0335,100.1219,100.4653
Nov-86,74.0993,60.5396,51.2293,73.4145,45.0839,3.5454,100.2813,100.8086
Dec-86,74.4219,60.7554,51.1548,73.2312,45.2201,3.75,100.5109,101.0254
Jan-87,73.0238,59.4604,51.0059,73.2312,45.4017,3.9501,100.8206,101.3012
Feb-87,75.3899,61.1871,51.3782,77.5848,45.5834,3.9337,101.0841,101.8061
Mar-87,75.0672,60.7554,51.3037,67.732,45.6742,4.0331,101.3569,102.1957
Apr-87,74.4219,60.9712,52.2717,71.1232,46.219,4.1965,101.6209,102.4662
May-87,75.82,60.6475,51.5271,76.4391,46.2644,4.1922,101.8377,102.7796
Jun-87,75.4974,61.5108,52.2717,79.4637,46.2644,4.1922,101.9609,102.984
Jul-87,76.8955,62.3741,52.793,77.9055,46.219,4.4103,101.966,103.1138
Aug-87,76.6804,62.482,53.0163,73.9186,46.3552,4.3967,101.87,103.3345
Sep-87,76.1427,62.5899,53.3886,84.9629,46.4914,4.1709,101.7022,103.4889
Oct-87,77.003,63.3453,53.612,78.043,46.7184,4.467,101.4826,103.7651
Nov-87,77.003,63.4532,53.9843,81.2051,46.9454,4.1289,101.2521,103.9532
Dec-87,77.5408,63.777,54.4311,82.3507,46.9,3.7149,101.0434,103.9248
Jan-88,78.2936,64.964,55.3275,83.0381,46.9,3.3,100.8807,103.8615
Feb-88,77.4332,64.5324,54.0905,82.7174,47,3.1078,100.7737,103.7825
Mar-88,78.6162,65.5036,54.3154,76.0266,47.2,3.3407,100.7264,103.645
Apr-88,77.971,64.8561,55.1026,78.1805,47.8,3.4207,100.7319,103.5204
May-88,78.8313,65.6115,54.9902,87.1167,48,3.7515,100.7561,103.5253
Jun-88,79.154,65.7194,55.6649,83.6797,48.2,4.1838,100.7543,103.4683
Jul-88,79.6917,66.5827,56.3396,85.6044,48.2,4.2862,100.7151,103.4997
Aug-88,80.5521,67.554,56.3396,91.1037,48.5,4.6269,100.6394,103.5739
Sep-88,81.1974,67.7698,56.0023,93.395,48.7,4.7506,100.5309,103.5682
Oct-88,80.337,67.6619,57.0143,78.5013,49,4.8837,100.4137,103.4605
Nov-88,81.0898,68.3094,57.2393,85.192,49.3,5.0156,100.3229,103.2763
Dec-88,80.5521,67.9856,57.3517,88.3082,49.3,5.1173,100.2652,103.0038
Jan-89,81.0898,69.2806,56.4521,90.6912,49.5,5.7,100.247,102.5092
Feb-89,81.3049,69.1727,56.9019,90.9662,49.7,5.8,100.255,102.0483
Mar-89,80.2294,68.5252,57.1268,82.809,50,5.9,100.2706,101.6311
Apr-89,82.2728,69.6043,57.2393,90.3704,50.5,5.6,100.2984,101.2683
May-89,80.2294,69.1727,57.914,92.8451,50.9,5.9,100.3064,101.0781
Jun-89,80.2294,68.3094,57.1268,90.9662,51,5.8,100.2726,101.0088
Jul-89,80.337,68.6331,56.7894,88.4915,51,5.7,100.2047,100.9948
Aug-89,81.9502,69.2806,57.3517,93.12,51.1,5.5,100.103,100.7986
Sep-89,81.6275,69.2806,57.5766,82.6715,51.5,5.7,99.9684,100.4907
Oct-89,81.0898,68.8489,57.6891,84.1838,51.9,5.8,99.828,100.2623
Nov-89,81.8426,69.2806,57.6891,83.4048,52.1,5.7,99.7176,100.0393
Dec-89,81.7351,69.2806,58.1389,85.5586,52.2,5.8,99.6394,99.8941
Jan-90,80.8747,69.0648,57.8015,84.6879,52.4,5.9,99.5771,99.6844
Feb-90,80.337,68.8489,58.5887,78.7304,52.9,6.3,99.5313,99.4368
Mar-90,81.52,69.8201,58.7012,80.2427,53.1,6.2,99.5264,99.268
Apr-90,81.9502,69.7122,57.914,77.7222,54.4,7.7,99.5698,99.3186
May-90,81.52,69.8201,59.2634,83.2673,55,8.2,99.6206,99.2961
Jun-90,82.8105,69.6043,57.914,76.989,55.2,8.2,99.6382,99.154
Jul-90,80.7672,68.9568,58.9261,75.6142,55.2,8.2,99.6056,98.8159
Aug-90,80.8747,69.2806,58.0264,77.2181,55.7,8.9,99.5246,98.4046
Sep-90,80.4445,68.5252,57.914,76.4391,56.2,9.2,99.4057,97.9339
Oct-90,80.337,68.4173,57.6891,72.8188,56.7,9.2,99.2676,97.4417
Nov-90,79.9068,67.9856,57.2393,69.2443,56.9,9.2,99.1306,96.9254
Dec-90,79.4766,67.554,57.914,65.9448,57,9.2,99.0407,96.3875
Jan-91,79.2615,67.6619,57.1268,67.0446,57,8.6,99.0353,95.8756
Feb-91,79.2615,66.259,56.7894,59.8498,57.2,8.2,99.1316,95.4126
Mar-91,78.4012,66.0432,58.7012,68.4652,57.5,8.3,99.3114,95.4271
Apr-91,77.4332,65.3957,57.2393,58.2459,58.7,8,99.5109,95.6367
May-91,78.2936,65.9353,57.0143,57.8334,59.2,7.5,99.7051,95.6806
Jun-91,78.6162,64.964,56.7894,54.8547,59.5,7.7,99.8904,95.9013
Jul-91,77.8634,65.072,57.8015,59.3915,59.3,7.5,100.0655,96.2594
Aug-91,77.1106,64.5324,56.9019,67.5029,59.9,7.5,100.22,96.7274
Sep-91,77.2181,64.6403,56.9019,64.1117,60.1,6.9,100.3196,97.2364
Oct-91,78.1861,65.072,56.5645,57.9709,60.4,6.5,100.349,97.5114
Nov-91,78.4012,65.2878,56.5645,59.254,60.5,6.5,100.3271,97.5591
Dec-91,78.0785,65.1799,56.7894,58.7958,60.7,6.5,100.2861,97.3236
Jan-92,77.971,65.072,57.1268,59.2999,60.5,6.2,100.2661,97.0619
Feb-92,78.5087,65.5036,57.1268,55.9545,60.8,6.3,100.2814,97.078
Mar-92,78.1861,65.6115,56.3396,56.7794,61.1,6.2,100.3125,97.4213
Apr-92,78.7238,65.7194,57.0143,66.0822,61.8,5.2,100.3159,97.9336
May-92,77.1106,64.5324,57.5766,59.5748,62.2,5.1,100.2283,98.3445
Jun-92,77.971,65.9353,57.0143,59.804,62.2,4.6,100.039,98.1677
Jul-92,78.5087,65.9353,56.3396,58.6583,62,4.5,99.7963,97.5744
Aug-92,78.4012,65.3957,57.4642,60.1247,62.1,3.7,99.5785,96.9657
Sep-92,78.9389,65.5036,57.2393,59.8498,62.3,3.7,99.4426,96.76
Oct-92,79.7993,65.8273,57.3517,61.5454,62.5,3.5,99.4109,96.8743
Nov-92,78.7238,65.1799,57.4642,61.0871,62.5,3.3,99.4664,96.9761
Dec-92,78.6162,65.1799,57.1268,74.0561,62.6,3.2,99.58,97.3094
Jan-93,78.7238,65.9353,58.1389,62.4161,62.4,3,99.7101,97.8014
Feb-93,79.9068,66.7986,58.1389,64.9366,62.7,3.1,99.8496,98.3907
Mar-93,79.2615,66.5827,58.1389,64.1575,63,3.2,99.991,98.9702
Apr-93,79.3691,66.4748,58.1389,65.9448,63.4,2.6,100.1288,99.4455
May-93,80.0143,66.5827,57.914,67.1821,63.6,2.3,100.2537,99.6508
Jun-93,79.5842,65.6115,58.5887,65.8073,63.6,2.2,100.3569,99.6009
Jul-93,80.2294,66.3669,57.914,67.3654,63.4,2.3,100.457,99.5633
Aug-93,80.4445,66.0432,58.7012,70.7107,63.7,2.6,100.5528,99.8183
Sep-93,80.7672,66.4748,58.8136,69.0151,64,2.7,100.6176,99.9951
Oct-93,80.8747,66.0432,58.9261,72.5896,64,2.4,100.6439,99.9613
Nov-93,81.6275,66.5827,59.0385,74.1019,63.8,2.1,100.6332,100.0625
Dec-93,81.8426,67.2302,59.3759,69.84,64,2.3,100.5933,100.1993
Jan-94,82.2728,67.7698,60.0506,76.5766,64,2.6,100.5297,100.4151
Feb-94,82.5954,67.7698,59.0385,74.1019,64.2,2.4,100.4273,100.5745
Mar-94,82.9181,68.3094,59.7132,73.5062,64.4,2.2,100.3038,100.5765
Apr-94,83.9936,68.8489,59.4883,70.2983,64.9,2.4,100.1952,100.6344
May-94,85.069,69.7122,60.1631,73.6437,65.1,2.4,100.1219,100.9272
Jun-94,84.1011,69.0648,60.0506,75.935,65.1,2.3,100.0769,101.212
Jul-94,84.5313,69.7122,59.9382,69.9317,64.7,2.1,100.0436,101.4434
Aug-94,84.8539,69.8201,60.5004,72.5896,65.1,2.2,100.0145,101.8297
Sep-94,85.7143,70.2518,60.8378,73.277,65.2,1.9,99.9685,102.0027
Oct-94,85.8218,70.6835,60.7253,70.7566,65.1,1.8,99.9035,102.1448
Nov-94,85.7143,71.0072,60.5004,72.6813,65.2,2.1,99.8282,102.3325
Dec-94,86.6822,71.4389,60.6129,70.3441,65.5,2.2,99.753,102.5014
Jan-95,84.9615,69.8201,59.3759,72.2688,65.5,2.4,99.7062,102.5778
Feb-95,85.069,70.2518,60.388,74.4227,65.7,2.3,99.6891,102.6529
Mar-95,85.2841,69.7122,60.388,73.552,66,2.4,99.6945,102.5369
Apr-95,86.1445,70.4676,60.0506,70.0233,66.4,2.3,99.7231,102.3381
May-95,86.0369,70.5755,60.1631,74.2852,66.7,2.6,99.7702,102.1838
Jun-95,85.4992,70.6835,60.1631,74.881,66.8,2.7,99.8261,101.8244
Jul-95,86.1445,70.7914,60.7253,72.7271,66.6,2.8,99.8698,101.4906
Aug-95,86.252,70.8993,60.1631,74.5144,66.9,2.7,99.8968,101.3194
Sep-95,86.5747,70.7914,60.5004,73.0479,67.2,3,99.9053,101.0842
Oct-95,86.252,71.1151,60.7253,76.6682,67.1,3,99.8983,100.7696
Nov-95,86.6822,71.0072,61.0627,76.1183,67.1,2.9,99.8837,100.4279
Dec-95,87.0048,70.7914,61.0627,75.66,67.5,3.1,99.8752,100.1834
Jan-96,86.6822,71.1151,60.1631,73.3229,67.4,2.9,99.8764,100.2055
Feb-96,87.3275,71.1151,61.7374,77.7681,67.7,3,99.8931,100.1855
Mar-96,87.435,71.223,61.5125,75.0643,67.9,3,99.9127,100.0504
Apr-96,86.4671,70.5755,62.2997,80.1511,68.3,2.8,99.9248,99.848
May-96,86.8973,70.4676,62.2997,77.3556,68.6,2.8,99.9163,99.7546
Jun-96,86.5747,70.7914,62.5246,77.3556,68.7,2.8,99.903,99.9469
Jul-96,86.4671,70.4676,62.2997,77.9514,68.3,2.7,99.8995,100.29
